Project, Channel safety score, Global deadlock score, Link 
NebulousLabs--Sia:siatest++addStorageFolderToHosts118.pml,0,0,https://github.com/NebulousLabs/Sia/blob/a25183288df2fc0ba6e43ef2d1b9644d0ec29ba1/siatest/testgroup.go#L118
tendermint--tendermint:abcicli++waitGroup1140.pml,0,1,https://github.com/tendermint/tendermint/blob/62d7a5d0282f70b035b5b6ff925f4015d81216e5/abci/client/client.go#L140
appc--spec:aci++NewXzReader117.pml,0,1,https://github.com/appc/spec/blob/259c2eebc32df77c016974d5e8eed390d5a81500/aci/file.go#L117
kubernetes--kubernetes:kuberuntime++executePreStopHook516.pml,0,0,https://github.com/kubernetes/kubernetes/blob/d70ee902fddc682863a3cc4f0d8eac0223ebf70b/pkg/kubelet/kuberuntime/kuberuntime_container.go#L516
weaveworks--weave:ipam++Claim316.pml,0,1,https://github.com/weaveworks/weave/blob/edd28ab4cbef07574400d8b4fbfab6638515f4fa/ipam/allocator.go#L316
pilosa--pilosa:pilosa++executeBulkSetRowAttrs2267.pml,0,0,https://github.com/pilosa/pilosa/blob/d960d2fda97521711a6b7d2542a8bd1a41112378/executor.go#L2267
keybase--client:libkb++NewBgTickerWithWait26.pml,0,0,https://github.com/keybase/client/blob/cd76ccb97183c2be78b869fab9aed4b6f5b11086/go/libkb/bgticker.go#L26
perkeep--perkeep:main++emailOnTimeout207.pml,0,0,https://github.com/perkeep/perkeep/blob/40f12e532cba9a2b236a413d486c7ab0a6768672/website/pk-web/email.go#L207
minio--minio:cmd++deleteAll436.pml,0,0,https://github.com/minio/minio/blob/3163a660aa79b75b725a0c6f152557e6253b900f/cmd/metacache-bucket.go#L436
kubernetes--kubernetes:services++Start48.pml,0,1,https://github.com/kubernetes/kubernetes/blob/d70ee902fddc682863a3cc4f0d8eac0223ebf70b/test/e2e_node/services/apiserver.go#L48
chrislusf--gleam:instruction++DoPipeAsArgs55.pml,0,0,https://github.com/chrislusf/gleam/blob/d48afd638bae4e01dbf233e492fc07c840929d45/instruction/pipe_as_args.go#L55
siddontang--go-mysql:dump++DumpAndParse224.pml,0,0,https://github.com/siddontang/go-mysql/blob/0c5789dd0bd378b4b84f99b320a2d35a80d8858f/dump/dump.go#L224
Workiva--go-datastructures:merge++SymMerge133.pml,0,0,https://github.com/Workiva/go-datastructures/blob/0819bcaf26091e7c33585441f8961854c2400faa/sort/symmerge.go#L133
sourcegraph--webloop:webloop++EvaluateJavaScript112.pml,0,1,https://github.com/sourcegraph/webloop/blob/b349a792d12282177c53eebe9c9627555305705e/webloop.go#L112
influxdata--telegraf:zipkin++Start86.pml,0,0,https://github.com/influxdata/telegraf/blob/6ed1431348c200760443c2a0422b0d54bea927ec/plugins/inputs/zipkin/zipkin.go#L86
pulumi--pulumi:deploytest++Run47.pml,0,0,https://github.com/pulumi/pulumi/blob/940c0eaf62bac1196a10942ec437f2c39e7e2bda/pkg/resource/deploy/deploytest/languageruntime.go#L47
gravitational--teleport:srv++RunForward220.pml,0,0,https://github.com/gravitational/teleport/blob/7b21cbaa566b561b40f322245b9ef5b931cbedfb/lib/srv/reexec.go#L220
gruntwork-io--terratest:parser++SpawnParsers17.pml,0,0,https://github.com/gruntwork-io/terratest/blob/d2eada2d8542026fdde0224b0e6b26b3445591ee/modules/logger/parser/parser.go#L17
keybase--kbfs:libkbfs++StallBlockOp116.pml,0,0,https://github.com/keybase/kbfs/blob/a4a00254ce4a3f4cf9d19ca56085d4964f1a7f64/libkbfs/test_stallers.go#L116
lightningnetwork--lnd:wtclient++ApplyAndWait656.pml,0,0,https://github.com/lightningnetwork/lnd/blob/ff897db293ab0e59abdefcb438d0ef42ebc91ff5/watchtower/wtclient/session_queue.go#L656
minio--minio:cmd++healObjectDir486.pml,0,0,https://github.com/minio/minio/blob/3163a660aa79b75b725a0c6f152557e6253b900f/cmd/erasure-healing.go#L486
prasmussen--gdrive:drive++prepareSyncFiles44.pml,0,1,https://github.com/prasmussen/gdrive/blob/31d0829c180795d17e00b7a354fffe4d72be712b/drive/sync.go#L44
improbable-eng--thanos:query++Select195.pml,0,0,https://github.com/improbable-eng/thanos/blob/d587ac90f67da1894af8ef62547d8e0dfb3cc5f6/pkg/query/querier.go#L195
Workiva--go-datastructures:link++multithreadedInsert79.pml,0,0,https://github.com/Workiva/go-datastructures/blob/0819bcaf26091e7c33585441f8961854c2400faa/btree/_link/tree.go#L79
Tencent--bk-cmdb:glog++timeoutFlush758.pml,0,0,https://github.com/Tencent/bk-cmdb/blob/4347923164dc5bdd2ecd166e58d00c5a394b5c10/src/common/blog/glog/glog.go#L758
albrow--fo:srcimporter++parseFiles166.pml,0,0,https://github.com/albrow/fo/blob/772d67f7090e5303d9290ee1efb3f098dd115b61/internal/srcimporter/srcimporter.go#L166
ncw--rclone:union++multithread888.pml,0,0,https://github.com/ncw/rclone/blob/80e63af4703730923a97b65fae4d5b712de846c9/backend/union/union.go#L888
