Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
perfschema_dataForRemoteProfile.pml,timeout,timeout,timeout,timeout,timeout,
server_Close.pml,8,0,false,false,,
server_NewRPCServer.pml,4,0,false,false,,
server_ServeHTTP.pml,131,0,false,false,,
server_SetDomain.pml,4,0,false,false,,
server_createSession.pml,8,0,false,false,,
server_getDropOrTruncateTableTiflash.pml,12,0,false,false,,
server_handleStatusReport.pml,10,0,false,false,,
server_newStatsHandler.pml,4,0,false,false,,
server_newStatsHistoryHandler.pml,4,0,false,false,,
server_resignDDLOwner.pml,6,0,false,false,,
server_startStatusServerAndRPCServer.pml,4,0,false,false,,
session_BootstrapSession.pml,25,0,false,false,,
session_CreateSessionWithOpt.pml,11,0,false,false,,
session_Get.pml,17,0,false,false,,
session_StoreQueryFeedback.pml,10,0,false,false,,
session_bootstrap.pml,7,0,false,false,,
session_runInBootstrapSession.pml,4,0,false,false,,
signal_SetupSignalHandler.pml,timeout,timeout,timeout,timeout,timeout,
tables_writeSequenceUpdateValueBinlog.pml,4,0,false,false,,
testkit_GetTableID.pml,4,0,false,false,,
tikv_Commit.pml,40,0,false,false,,
tikv_LockKeys.pml,859,0,false,false,,
tikv_NewRegionCache.pml,timeout,timeout,timeout,timeout,timeout,
tikv_Send.pml,0,0,false,true,,
tikv_asyncPessimisticRollback.pml,7,0,false,false,,
tikv_batchGetKeysByRegions.pml,timeout,timeout,timeout,timeout,timeout,
tikv_checkAllSecondaries.pml,timeout,timeout,timeout,timeout,timeout,
tikv_newConnArray.pml,timeout,timeout,timeout,timeout,timeout,
tikv_newTikvStore.pml,timeout,timeout,timeout,timeout,timeout,
tikv_open.pml,timeout,timeout,timeout,timeout,timeout,
tikv_prewriteBinlog.pml,timeout,timeout,timeout,timeout,timeout,
tikv_resolveLockAsync.pml,timeout,timeout,timeout,timeout,timeout,
tikv_sendBatch.pml,timeout,timeout,timeout,timeout,timeout,
tikv_sendBatchPut.pml,timeout,timeout,timeout,timeout,timeout,
tikv_sendBatchReq.pml,timeout,timeout,timeout,timeout,timeout,
tikv_splitBatchRegionsReq.pml,timeout,timeout,timeout,timeout,timeout,
tikv_writeFinishBinlog.pml,14,0,false,false,,
unistore_New.pml,11,0,false,false,,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
client_NewControl.pml,timeout,timeout,timeout,timeout,timeout,
client_Run.pml,0,0,false,true,,
client_worker.pml,timeout,timeout,timeout,timeout,timeout,
group_HTTPConnectListen.pml,timeout,timeout,timeout,timeout,timeout,
group_Listen.pml,timeout,timeout,timeout,timeout,timeout,
log_init.pml,4,0,false,false,,
nathole_HandleVisitor.pml,timeout,timeout,timeout,timeout,timeout,
nathole_ListenClient.pml,timeout,timeout,timeout,timeout,timeout,
net_ListenKcp.pml,timeout,timeout,timeout,timeout,timeout,
